Date,Total Gross Oil Volume (bbl),Total Net Reveune ($),Total Gross Gas Volume (MCF),Oil Revenue ($),Gas Revenue ($),Total Expenses ($),Net Income ($),Total CAPEX ($),Before Income Tax Cash Flow ($),Total Taxes ($)
2026-04-01,3898.9746620099995,923406.6723522043,225902.02262298507,179334.03461234004,744072.6377398667,411450.1678280367,425333.4007430212,0.0,425333.4007430212,173246.2075622999
2026-05-01,3979.5761493789983,933374.9781344822,227914.235646196,182985.05476849712,750389.9233659861,415969.4471527969,429906.96546994,0.0,429906.96546994,174997.131023498
2026-06-01,3804.482499706001,883646.1358252809,215361.81739687003,174881.32258996493,708764.8132353157,393882.98445843585,406983.56023722,0.0,406983.56023722,165559.18225927794
2026-07-01,3884.071539663999,893354.9810968869,217308.57765838504,178487.0015286951,714867.9795681898,398289.5401342398,411434.81474138616,0.0,411434.81474138616,167261.2524425299
2026-08-01,3837.0921286119983,873806.1291952083,212130.88856300406,176276.10132486405,697530.0278703443,389654.5758570418,402409.7922499459,0.0,402409.7922499459,163483.52217642107
2026-09-01,3669.5168714120014,827487.3505828198,200487.78809689495,168529.63387045194,658957.7167123631,369076.3111532191,381057.66158915404,0.0,381057.66158915404,154706.75568091188
2026-10-01,3747.500082234002,836817.651338051,202340.83909517,172062.97357801805,664754.6777600332,373315.3960169431,385333.29507834185,0.0,385333.29507834185,156337.92048553392
2026-11-01,3584.557833793999,792609.0415070349,191260.95211636994,164536.33151879907,628072.7099882353,353666.2664579953,364957.6081935908,0.0,364957.6081935908,147970.33371090607
2026-12-01,3661.4386077739996,801697.0900648646,193055.0610564931,168019.79672389204,633677.2933409689,357794.5389867352,369124.3820716551,0.0,369124.3820716551,149556.33801295294
2027-01-01,3618.9695688640013,784531.012663036,188520.53861420197,166026.01829417297,618504.9943688619,350205.5920129644,361203.948828276,0.0,361203.948828276,146242.94364358013
2027-02-01,3232.919708597999,694222.1899215424,166478.79142980697,148277.78967897204,545944.4002425722,309953.19420386816,319611.8630202999,0.0,319611.8630202999,129314.26539474093
2027-03-01,3468.7443614829995,743412.2589174061,178390.91903273703,158846.78821105591,584565.4707063538,332391.558238614,341800.2328695132,0.0,341800.2328695132,138440.9356185521
2027-04-01,2926.246518552999,664064.1763449919,162393.62858208403,132802.22672904195,531261.9496159466,300187.3570577059,301822.86681475496,0.0,301822.86681475496,124107.90494505908
2027-05-01,2839.197040648,659699.082521518,162562.04874644696,128303.428845127,531395.6536763869,299875.70339242485,298091.5322397192,0.0,298091.5322397192,123463.69377875896
2027-06-01,2721.2079994550018,625027.2070686632,153675.01471554404,122947.92009793602,502079.286970725,284195.68772494496,282392.5948696588,0.0,282392.5948696588,116877.84894808997
2027-07-01,2784.941033349999,632369.583385402,155131.40909970098,125803.44627609101,506566.13710930897,287616.49037116085,285676.98571922793,0.0,285676.98571922793,118152.21459003401
2027-08-01,2386.368319967001,397313.7494044618,91183.73612353399,106445.92714963996,290867.82225482096,183687.14658385908,177526.21079046818,0.0,177526.21079046818,72200.78406026894
2027-09-01,1941.5078123739995,174426.43836636498,31257.532223360995,85146.91042614303,89279.52794022202,84920.26133768198,75087.19913709797,0.0,75087.19913709797,28837.955783172998
2027-10-01,1991.663482308,178933.611862922,32065.629009833996,87345.98430551097,91587.62755740996,87115.27127660904,77026.75312212204,0.0,77026.75312212204,29583.174928380995
2027-11-01,1913.4285371740004,171905.92783350692,30806.610254367002,83914.410317885,87991.51751562102,83694.40706730894,74000.85665098103,0.0,74000.85665098103,28421.32823043598
2027-12-01,1962.8630622310002,176348.2188905779,31603.059087285008,86081.87252426801,90266.34636631103,85857.79800846096,75912.51197109403,0.0,75912.51197109403,29155.81782202298
2028-01-01,1948.389709592,175048.853272691,31370.55174354499,85446.63877387904,89602.21449881198,85225.772888387,75352.56368970801,0.0,75352.56368970801,28941.03338922102
2028-02-01,1809.6802733400007,162587.62513797186,29137.673470195998,79363.10337615495,83224.52176181802,79159.305368163,69987.90021074103,0.0,69987.90021074103,26880.839118124
2028-03-01,1920.6836571010008,172561.36766455104,30925.396323161,84230.690471129,88330.67719342698,84015.76164221401,74280.68212569095,0.0,74280.68212569095,28529.847793316014
2028-04-01,1845.2448225079997,165784.44095564407,29711.164780825,80921.94298593597,84862.497969712,80716.740941561,71362.979396617,0.0,71362.979396617,27409.441234943006
2028-05-01,1892.925277811001,170069.01070807304,30479.308975798012,83012.53158600497,87056.47912206898,82803.28974659498,73206.79606967903,0.0,73206.79606967903,28117.849783587022
2028-06-01,1818.5793192610001,163390.12448491695,29282.595770188997,79751.78421445501,83638.34027046902,79551.92137631698,70331.37999049203,0.0,70331.37999049203,27013.646236221
2028-07-01,1865.573357777,167612.9727034971,30039.662713354013,81812.29074144799,85800.68196204503,81608.40122808203,72148.64734456701,0.0,72148.64734456701,27711.848261694977
2028-08-01,1851.8269544440002,166378.56389879293,29818.67411299001,81209.108485182,85169.45541361603,81007.81753287702,71616.85207284596,0.0,71616.85207284596,27507.788586147024
2028-09-01,1779.0987828860002,159844.82630314206,28647.903444431005,78019.40602383105,81825.420279308,77827.00878085804,68804.03035386304,0.0,68804.03035386304,26427.574336857004
2028-10-01,1825.0762298380007,163976.26477375804,29388.565111824,80035.36044100903,83940.90433275298,79838.95675366501,70581.97777161197,0.0,70581.97777161197,27110.660496985012
2028-11-01,1753.4008908550002,157537.00099753492,28234.684237637997,76891.887044157,80645.11395337897,76704.07989046803,67809.890680451,0.0,67809.890680451,26046.06085322602
2028-12-01,1798.7164616360008,161608.9252593731,28964.664981334015,78878.834673508,82730.09058587001,78687.03460313601,69562.23789316801,0.0,69562.23789316801,26719.305526126995
2029-01-01,1785.468421721,160419.08024739395,28751.590889221003,78297.60625344202,82121.473993953,78108.04284098101,69049.73492472997,0.0,69049.73492472997,26522.604963379996
2029-02-01,1601.3762561960007,143879.29812683602,25787.342137957992,70224.454456352,73654.84367048401,70055.10310259402,61930.17226705001,0.0,61930.17226705001,23788.045514411002
2029-03-01,1760.526324941,158178.8624764371,28350.386823758992,77203.37062857006,80975.49184786598,77017.88211588103,68084.85188937507,0.0,68084.85188937507,26152.256942354004
2029-04-01,1691.3909575589998,151967.557704698,27237.273204836,74171.40745968703,77796.15024501503,73993.85246168794,65411.037284046986,0.0,65411.037284046986,25125.33591793101
2029-05-01,1735.1088724319998,155895.82534666805,27941.472200828,76088.33761706196,79807.48772960495,75906.81795730499,67101.59487878201,0.0,67101.59487878201,25774.82502115498
2029-06-01,1666.9734651949998,149774.28010664607,26844.415656932993,73100.26830821803,76674.01179843002,72926.438213805,64466.47156553,0.0,64466.47156553,24762.740654626014
2029-07-01,1710.062086435,153645.96354722502,27538.459597815003,74989.619631802,78656.343915422,74811.83303071499,66132.69411974799,0.0,66132.69411974799,25402.87279351901
2029-08-01,1697.4736435919997,152515.14634388193,27335.884333406982,74437.42690844499,78077.71943544004,74261.45175794503,65645.73369788499,0.0,65645.73369788499,25215.921776111005
2029-09-01,1630.8186803240005,146526.50436181793,26262.607538767,71514.33624397899,75012.168117839,71345.710320043,63067.89103576002,0.0,63067.89103576002,24225.806012030996
2029-10-01,1672.9753311410002,150314.38776374297,26941.612001960995,73362.84400057195,76951.54376317102,73190.27336197702,64698.07406436298,0.0,64698.07406436298,24852.080674816018
2029-11-01,1607.2839394229995,144412.256644484,25883.81706154801,70482.04187771502,73930.21476677,70316.611598516,62157.51239246401,0.0,62157.51239246401,23876.26530700801
2029-12-01,1648.8338202030002,148145.58099653598,26553.029839979008,72303.95804407698,75841.62295245298,72134.59029003003,63764.23176437799,0.0,63764.23176437799,24493.517884231973
2030-01-01,1636.7001999409997,147055.49332067603,26357.70788731801,71771.77462368204,75283.71869699303,71603.96117094798,63294.88454220699,0.0,63294.88454220699,24313.295215043992
2030-02-01,1467.9556855760004,131894.075188347,23640.274586770996,64371.991705247,67522.08348309499,64221.71472756497,56769.06077787002,0.0,56769.06077787002,21806.599365834
2030-03-01,1613.8554468060008,145003.04984724996,25989.929033972006,70769.82830534,74233.22154191304,70604.84318538099,62411.22418678698,0.0,62411.22418678698,23973.964950160997
2030-04-01,1550.4890366720003,139309.68506748296,24969.503370865987,67991.05145566497,71318.63361181802,67832.74144822701,59960.61357534499,0.0,59960.61357534499,23032.660087818993
2030-05-01,1590.5743080739994,142911.31547004898,25615.08089330699,69748.781719849,73162.533750202,69586.550625226,61510.69722166203,0.0,61510.69722166203,23628.135246295984
2030-06-01,1528.1233447800005,137300.16069029304,24609.374078638994,67010.17232077199,70289.988369521,66854.447479679,59095.50288508799,0.0,59095.50288508799,22700.420651057007
2030-07-01,1567.6317369010003,140849.91937115105,25245.642028955986,68742.62124556396,72107.29812559098,68582.98129405604,60623.279031395985,0.0,60623.279031395985,23287.318091404988
2030-08-01,1556.1005255770003,139813.8074710591,25059.942307744,68236.92661564102,71576.88085541698,68078.544149794,60177.256715629,0.0,60177.256715629,23116.013211286005
2030-09-01,1495.0050034319993,134324.38489913204,24076.03352725101,65557.78622288497,68766.59867624397,65405.673999432,57814.49952734098,0.0,57814.49952734098,22208.422744717005
2030-10-01,1533.6590570110002,137797.32307347294,24698.514155901,67252.79453071202,70544.52854276299,67096.77548305002,59309.239179406024,0.0,59309.239179406024,22782.616822057007
2030-11-01,1473.4458182530002,132387.14414196598,23728.797110437,64612.36106179999,67774.78308015903,64462.46726003098,56980.613515618956,0.0,56980.613515618956,21888.126732624005
2030-12-01,1511.5436387660002,135810.06704165597,24342.30129464101,66282.99295160701,69527.07409004803,66129.19778260104,58453.844220269,0.0,58453.844220269,22454.05007757599
2031-01-01,1500.4277700699997,134811.197059391,24163.249551069002,65795.54980279796,69015.64725659399,65642.84666899798,58023.90071547595,0.0,58023.90071547595,22288.899349822015
