Date,Total Gross Oil Volume (bbl),Total Net Reveune ($),Total Gross Gas Volume (MCF),Oil Revenue ($),Gas Revenue ($),Total Expenses ($),Net Income ($),Total CAPEX ($),Before Income Tax Cash Flow ($),Total Taxes ($)
2023-09-01,6281.489947084001,359363.395790815,31165.961250241,283279.492888667,76083.902902148,93980.860721089,236633.463406458,0.0,236633.463406458,57498.14332652999
2025-05-01,3254.885971013,181737.65194317303,18910.391234584004,141245.77671212202,40491.875231050995,51459.250944717,115739.38884300199,0.0,115739.38884300199,29078.024310908993
2023-07-01,7168.682681357001,409840.35242844897,34634.098074332,325601.567387157,84238.78504129099,106320.924887883,270732.19934629,0.0,270732.19934629,65574.456388552
2022-01-01,44450.663923901,2508537.7047616034,101006.788678255,2185972.525117597,322565.179644005,545513.4279172539,1762341.260463417,0.0,1762341.260463417,401366.03276185796
2024-07-01,4369.372538021,246313.13471029798,23856.486391528,192296.08539827602,54017.049312021,67550.211771734,159057.87216173898,0.0,159057.87216173898,39410.101553646
2022-05-01,21911.692510532,1261859.33901342,71431.97126057399,1060635.475972382,201223.86304103798,290548.896365912,870361.695526437,0.0,870361.695526437,201897.49424214798
2025-04-01,3234.150818878,181095.280297222,18690.703902252,140442.99930982201,40652.280987399994,51032.212091044006,115575.44578240199,0.0,115575.44578240199,28975.244847554997
2025-07-01,3092.8149565209997,173855.45795259,18151.235099762,133818.371131289,40037.086821300996,49079.384664975994,110867.63665140598,0.0,110867.63665140598,27816.873272415996
2023-08-01,6811.438720216999,389781.541705012,33366.449166431,308200.573493087,81580.968211927,101480.83636861602,257118.181999993,0.0,257118.181999993,62365.04667280001
2026-03-01,2573.576509799,148379.76342137303,15640.26923998,110502.94138945302,37876.822031920005,41376.03433796,95133.348009704,0.0,95133.348009704,23740.762147419002
2023-10-01,6197.393056707,355579.46231286397,31120.298139115,278696.76576018,76882.69655268699,93094.22870620199,234038.87662163703,0.0,234038.87662163703,56892.713970058
2023-02-01,8638.124460553,519071.429454918,38372.82056442,400441.85468001803,118629.5747749,124754.06516993501,352791.64992859005,0.0,352791.64992859005,83051.42871278602
2025-06-01,3069.5976948739994,172014.97656509897,17925.631799490002,133067.060072758,38947.916492345,48621.60874822301,109632.169691667,0.0,109632.169691667,27522.396250417994
2026-01-01,2684.051596039,157653.578759477,16185.109186254,115628.942757365,42024.636002109,43025.625146647,102015.66731207201,0.0,102015.66731207201,25224.572601516
2024-12-01,3732.760415544,218342.161262649,21087.061664204997,163130.96206034502,55211.199202304,58414.665819653004,142460.122541985,0.0,142460.122541985,34934.745802023
2023-04-01,8185.595206732,467618.480577664,37735.114208032,376148.5637373921,91469.916840272,119591.066275363,310617.935856089,0.0,310617.935856089,74818.956892427
2026-10-01,2235.420624873,126492.793982771,13933.749106850999,95497.169094587,30995.624888187,36287.955355581,80085.41510857,0.0,80085.41510857,20238.847037246
2026-07-01,2370.0605476230003,133400.19712148802,14620.464730849999,101480.067497858,31920.12962363,38321.070207082,84407.111144686,0.0,84407.111144686,21344.03153944
2024-03-01,5040.357141663,291499.897987207,26632.445742925996,223527.238339823,67972.65964738099,77036.017159539,191143.88898869097,0.0,191143.88898869097,46639.983677954995
2026-05-01,2467.926313468,137697.104016515,15113.529001744002,105800.00105833,31897.102958182,39792.792136413,86888.54355877699,0.0,86888.54355877699,22031.536642645
